group,source,res_pc,colname,unit,format,description
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,120,fracA_CO21_120pc,"1",".3f","Area filling factor of CO21 detection @ 120 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,120,fracF_CO21_120pc,"1",".3f","Flux completeness of CO21 detection @ 120 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,120,fcorr_I_CO21_120pc,"1",".3e","Completeness correction on flux-weighted mean CO intensity @ 120 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,120,fcorr_clumping_CO21_120pc,"1",".3e","Completeness correction on CO clumping factor @ 120 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,120,clumping_CO21_120pc,"1",".3e","Clumping factor of CO21 emission @ 120 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,120,A<T_peak_pix_120pc>,"K",".3e","Area-weighted mean CO line peak temperature @ 120 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,120,F<T_peak_pix_120pc>,"K",".3e","Flux-weighted mean CO line peak temperature @ 120 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,120,F<Sigma_mol_pix_120pc>,"Msun pc-2",".3e","Flux-weighted mean molecular gas surface density @ 120 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,120,F<vdisp_mol_pix_120pc>,"km s-1",".3e","Flux-weighted mean molecular gas velocity dispersion @ 120 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,120,F<P_turb_sph_pix_120pc>,"K cm-3",".3e","Flux-weighted mean molecular gas turbulent pressure (sphere) @ 120 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,120,F<P_turb_r3d_pix_120pc>,"K cm-3",".3e","Flux-weighted mean molecular gas turbulent pressure (spheroid) @ 120 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,120,F<P_selfg_sph_pix_120pc>,"K cm-3",".3e","Flux-weighted mean molecular gas weight due to self-gravity (sphere) @ 120 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,120,F<P_selfg_r3d_pix_120pc>,"K cm-3",".3e","Flux-weighted mean molecular gas weight due to self-gravity (spheroid) @ 120 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,120,F<alpha_vir_sph_pix_120pc>,"1",".3e","Flux-weighted mean molecular gas virial parameter (sphere) @ 120 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,120,F<alpha_vir_r3d_pix_120pc>,"1",".3e","Flux-weighted mean molecular gas virial parameter (spheroid) @ 120 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,120,F<t_ff_sph^-1_pix_120pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of free-fall time (sphere) @ 120 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,120,F<t_ff_r3d^-1_pix_120pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of free-fall time (spheroid) @ 120 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,120,F<t_cross_sph^-1_pix_120pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of crossing time (sphere) @ 120 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,120,F<t_cross_r3d^-1_pix_120pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of crossing time (spheroid) @ 120 pc"

CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,150,fracA_CO21_150pc,"1",".3f","Area filling factor of CO21 detection @ 150 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,150,fracF_CO21_150pc,"1",".3f","Flux completeness of CO21 detection @ 150 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,150,fcorr_I_CO21_150pc,"1",".3e","Completeness correction on flux-weighted mean CO intensity @ 150 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,150,fcorr_clumping_CO21_150pc,"1",".3e","Completeness correction on CO clumping factor @ 150 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,150,clumping_CO21_150pc,"1",".3e","Clumping factor of CO21 emission @ 150 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,150,A<T_peak_pix_150pc>,"K",".3e","Area-weighted mean CO line peak temperature @ 150 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,150,F<T_peak_pix_150pc>,"K",".3e","Flux-weighted mean CO line peak temperature @ 150 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,150,F<Sigma_mol_pix_150pc>,"Msun pc-2",".3e","Flux-weighted mean molecular gas surface density @ 150 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,150,F<vdisp_mol_pix_150pc>,"km s-1",".3e","Flux-weighted mean molecular gas velocity dispersion @ 150 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,150,F<P_turb_sph_pix_150pc>,"K cm-3",".3e","Flux-weighted mean molecular gas turbulent pressure (sphere) @ 150 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,150,F<P_turb_r3d_pix_150pc>,"K cm-3",".3e","Flux-weighted mean molecular gas turbulent pressure (spheroid) @ 150 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,150,F<P_selfg_sph_pix_150pc>,"K cm-3",".3e","Flux-weighted mean molecular gas weight due to self-gravity (sphere) @ 150 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,150,F<P_selfg_r3d_pix_150pc>,"K cm-3",".3e","Flux-weighted mean molecular gas weight due to self-gravity (spheroid) @ 150 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,150,F<alpha_vir_sph_pix_150pc>,"1",".3e","Flux-weighted mean molecular gas virial parameter (sphere) @ 150 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,150,F<alpha_vir_r3d_pix_150pc>,"1",".3e","Flux-weighted mean molecular gas virial parameter (spheroid) @ 150 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,150,F<t_ff_sph^-1_pix_150pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of free-fall time (sphere) @ 150 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,150,F<t_ff_r3d^-1_pix_150pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of free-fall time (spheroid) @ 150 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,150,F<t_cross_sph^-1_pix_150pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of crossing time (sphere) @ 150 pc"
CO_stats,ALMA:CO:tpeak&ALMA:CO:mom0:broad&ALMA:CO:mom0:strict&ALMA:CO:cew:strict,150,F<t_cross_r3d^-1_pix_150pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of crossing time (spheroid) @ 150 pc"

CPROPS_stats,ALMA:CPROPS:homogenoise:lo,60,N_obj_CPROPS_60pc,"1",".0f","Number of CPROPS clouds in aperture @ 60 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,60,F<M_mol_CPROPS_60pc>,"Msun",".3e","Flux-weighted mean CPROPS cloud mass @ 60 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,60,F<R_2d_CPROPS_60pc>,"pc",".3e","Flux-weighted mean CPROPS cloud radius (2d projected) @ 60 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,60,F<R_3d_CPROPS_60pc>,"pc",".3e","Flux-weighted mean CPROPS cloud radius (3d spheroid) @ 60 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,60,F<Area_2d_CPROPS_60pc>,"pc2",".3e","Flux-weighted mean CPROPS cloud area (2d projected) @ 60 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,60,F<Sigma_mol_CPROPS_60pc>,"Msun pc-2",".3e","Flux-weighted mean CPROPS cloud surface density @ 60 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,60,F<vdisp_mol_CPROPS_60pc>,"km s-1",".3e","Flux-weighted mean CPROPS cloud velocity dispersion @ 60 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,60,F<P_turb_sph_CPROPS_60pc>,"K cm-3",".3e","Flux-weighted mean CPROPS cloud turbulent pressure @ 60 pc (sphere)"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,60,F<P_turb_r3d_CPROPS_60pc>,"K cm-3",".3e","Flux-weighted mean CPROPS cloud turbulent pressure @ 60 pc (spheroid)"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,60,F<alpha_vir_sph_CPROPS_60pc>,"1",".3e","Flux-weighted mean CPROPS cloud virial parameter @ 60 pc (sphere)"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,60,F<alpha_vir_r3d_CPROPS_60pc>,"1",".3e","Flux-weighted mean CPROPS cloud virial parameter @ 60 pc (spheroid)"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,60,F<t_ff_sph^-1_CPROPS_60pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of CPROPS cloud free-fall time (sphere) @ 60 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,60,F<t_ff_r3d^-1_CPROPS_60pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of CPROPS cloud free-fall time (spheroid) @ 60 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,60,F<t_cross_sph^-1_CPROPS_60pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of CPROPS cloud crossing time (sphere) @ 60 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,60,F<t_cross_r3d^-1_CPROPS_60pc>,"Myr-1",".3e","Flux-weighted mean reciprocal of CPROPS cloud crossing time (spheroid) @ 60 pc"

CPROPS_stats,ALMA:CPROPS:homogenoise:lo,90,N_obj_CPROPS_90pc,"1",".0f","Number of CPROPS clouds in aperture @ 90 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,90,F<M_mol_CPROPS_90pc>,"Msun",".3e","Flux-weighted mean CPROPS cloud mass @ 90 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,90,F<R_2d_CPROPS_90pc>,"pc",".3e","Flux-weighted mean CPROPS cloud radius (2d projected) @ 90 pc"
CPROPS_stats,ALMA:CPROPS:homogenoise:lo,90,F<R_3d_CPROPS_90pc>,"pc",".3e","Flux-weighted mean CPROPS cloud radius (3d spheroid) @ 90 pc"
